orig32 medianBlur: min = 0, max = 1312, maxp = (1260,2140), minmaxdif = 1312
=>>averaged: min = : min = 0, max = 2075, maxp = (1349,2146), minmaxdif = 2075
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1304, maxp = (1280,2088), minmaxdif = 1304
orig32 medianBlur: min = 0, max = 1247, maxp = (1280,2087), minmaxdif = 1247
=>>averaged: min = : min = 0, max = 2131, maxp = (1349,2146), minmaxdif = 2131
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 1334, maxp = (1307,2078), minmaxdif = 1334
orig32 medianBlur: min = 0, max = 1264, maxp = (1306,2078), minmaxdif = 1264
=>>averaged: min = : min = 0, max = 2161, maxp = (1355,2136), minmaxdif = 2161
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1292, maxp = (1316,2032), minmaxdif = 1292
orig32 medianBlur: min = 0, max = 1241, maxp = (1328,2045), minmaxdif = 1241
=>>averaged: min = : min = 0, max = 2161, maxp = (1355,2136), minmaxdif = 2161
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1428, maxp = (1205,1999), minmaxdif = 1428
orig32 medianBlur: min = 0, max = 1372, maxp = (1205,1999), minmaxdif = 1372
=>>averaged: min = : min = 0, max = 2161, maxp = (1355,2136), minmaxdif = 2161
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1235, maxp = (1211,1979), minmaxdif = 1235
orig32 medianBlur: min = 0, max = 1180, maxp = (1212,1978), minmaxdif = 1180
=>>averaged: min = : min = 0, max = 2161, maxp = (1355,2136), minmaxdif = 2161
orig: min = 21, max = 4094, maxp = (740,64), minmaxdif = 4073
orig32 thresholded: min = 0, max = 1285, maxp = (1146,1963), minmaxdif = 1285
orig32 medianBlur: min = 0, max = 1228, maxp = (1146,1963), minmaxdif = 1228
=>>averaged: min = : min = 0, max = 2161, maxp = (1355,2136), minmaxdif = 2161
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 1603, maxp = (1129,1979), minmaxdif = 1603
orig32 medianBlur: min = 0, max = 1486, maxp = (1129,1978), minmaxdif = 1486
=>>averaged: min = : min = 0, max = 2161, maxp = (1355,2136), minmaxdif = 2161
orig: min = 22, max = 4094, maxp = (740,64), minmaxdif = 4072
orig32 thresholded: min = 0, max = 2115, maxp = (522,1879), minmaxdif = 2115
orig32 medianBlur: min = 0, max = 2055, maxp = (522,1879), minmaxdif = 2055
=>>averaged: min = : min = 0, max = 2161, maxp = (1355,2136), minmaxdif = 2161
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 2309, maxp = (572,1820), minmaxdif = 2309
orig32 medianBlur: min = 0, max = 2262, maxp = (572,1816), minmaxdif = 2262
=>>averaged: min = : min = 0, max = 2276, maxp = (571,1824), minmaxdif = 2276
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
orig32 thresholded: min = 0, max = 1800, maxp = (536,1744), minmaxdif = 1800
orig32 medianBlur: min = 0, max = 1748, maxp = (537,1743), minmaxdif = 1748
=>>averaged: min = : min = 0, max = 2305, maxp = (572,1816), minmaxdif = 2305
orig: min = 20, max = 4094, maxp = (740,64), minmaxdif = 4074
